Brand=["KovaScape"],Reporting Range=["Weekly"],Select week=["Week 17 | 2026-04-19 - 2026-04-25 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"8 x 10 light wood frames","832","4","240","4","1.67","2","50.0","1","50.0","15.99","17.99","0","0","2","1","25.0","0","0.0","15.99",,"0","0","1","1","25.0","0","0.0","15.99",,"0","0","1","2026-04-25"
"flouting shelves nathroom 16x12x1","700","6","132","6","4.55","4","66.67","1","25.0","27.99","26.99","0","1","3","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"14x17 frame","32","430","13243","3","0.02","179","41.63","1","0.56","25.17","27.99","1","47","72","68","15.81","1","1.47","22.99","27.99","1","21","30","33","7.67","1","3.03","22.99","27.99","1","7","21","2026-04-25"
"wall shelf 12 inches deep pair","216","1","20","1","5.0","1","100.0","1","100.0","26.99","26.99","0","1","0","1","100.0","1","100.0","26.99","26.99","0","1","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"72 inch live edge floating shelf","360","55","1163","74","6.36","19","34.55","0","0.0","159.0",,"0","1","3","1","1.82","0","0.0","177.64",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"solid teak floating shelves","921","5","111","3","2.7","10","200.0","1","10.0","80.99","102.99","0","5","5","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"wood floating shelves oak walnut maple","632","283","6900","45","0.65","123","43.46","0","0.0","29.99",,"15","51","25","10","3.53","0","0.0","28.49",,"1","3","4","2","0.71","0","0.0","29.99",,"0","2","0","2026-04-25"
"floating wall shelves for living room natural edge wood","110","6","108","12","11.11","5","83.33","1","20.0","90.43","114.99","0","0","5","2","33.33","1","50.0","99.99","114.99","0","0","2","0","0.0","0",,,,"0","0","0","2026-04-25"
"picture frame 16×20","210","7","153","1","0.65","3","42.86","1","33.33","36.99","38.99","0","0","1","1","14.29","1","100.0","38.99","38.99","0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"floating shelves for wall under 24 inches","705","3","66","6","9.09","2","66.67","1","50.0","89.99","89.99","0","0","1","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"floating wood wall shelves single","495","11","280","14","5.0","6","54.55","1","16.67","53.99","131.99","0","2","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
"36 x 12 white shelf","432","20","940","21","2.23","11","55.0","1","9.09","51.29","63.99","0","3","7","2","10.0","0","0.0","64.99",,"0","0","2","0","0.0","0",,,,"0","0","0","2026-04-25"
"live edge thick floating shelf","477","5","94","15","15.96","2","40.0","1","50.0","80.99","102.99","0","0","2","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-04-25"
